split,energy_bin_low_GeV,energy_bin_high_GeV,method,N,mean_true_energy_GeV,mean_reco_energy_GeV,mean_response,mean_relative_bias,median_relative_bias,sigma68_residual_GeV,sigma68_residual_over_mean_true
continuous_train,5.000533727365776,59.99930957722599,S_EM_GeV,60000,32.51082279689709,25.24288065804093,0.7793251249534121,-0.22067487504658784,-0.1895068898376746,3.95037366555582,0.12150949516826297
continuous_train,5.000533727365776,59.99930957722599,C_EM_GeV,60000,32.51082279689709,20.39075839441564,0.621195360112903,-0.3788046398870969,-0.371478061894271,6.833464319835418,0.2101904452718933
continuous_train,5.000533727365776,59.99930957722599,standard_DR_self_consistent_GeV,60000,32.51082279689709,30.97459789491004,0.9561580653715568,-0.04384193462844318,-0.0006745098036817221,3.133721162023532,0.09639009081992911
continuous_valid_closure,5.001240618139534,59.99683646111962,S_EM_GeV,10000,32.650234817937566,25.391159770304938,0.7796389287219523,-0.22036107127804772,-0.19071801183008097,3.896023483549615,0.11932604789136757
continuous_valid_closure,5.001240618139534,59.99683646111962,C_EM_GeV,10000,32.650234817937566,20.53759728069504,0.6222545146249886,-0.3777454853750114,-0.3704663832209483,6.795872840922463,0.20814162222162363
continuous_valid_closure,5.001240618139534,59.99683646111962,standard_DR_self_consistent_GeV,10000,32.650234817937566,31.1241975002534,0.9557668323464901,-0.044233167653509875,-0.0025883602369812797,3.1469943331462638,0.0963850444168123
