split,method,stochastic_term_fraction_sqrtGeV,stochastic_term_error_fraction_sqrtGeV,constant_term_fraction,constant_term_error_fraction,chi2,ndf,formula
application,S_EM_unweighted,0.2871426842707784,0.006344667700864107,0.0894434601835394,0.0011918466254431251,51.578629181449585,4,sigma/E = sqrt(a^2/E + b^2)
application,CALICE_local_SC,0.3294577179321872,0.0038902154000874586,0.028235738949749112,0.0016443129702972197,145.30830142576895,4,sigma/E = sqrt(a^2/E + b^2)
