split,energy_GeV,method,entries,mean_GeV,std_GeV,median_GeV,mpv_GeV,sigma68_GeV,response_mpv,resolution_sigma68_over_mpv,resolution_error,mpv_error_GeV,gauss90_mean_GeV,gauss90_sigma_GeV,response_gauss90,resolution_gauss90,resolution_gauss90_error,mean90_GeV,rms90_GeV,rms90_over_mean90,resolution_improvement_vs_S_percent,fit_strategy,role
calibration,5,S_EM_unweighted,2464,3.857843093428906,0.6915178741934915,3.8944915533065796,3.8145454103499654,0.614309549331665,0.7629090820699931,0.1610439733303123,0.002294083004509119,0.012375618546788448,3.9005370446429586,0.4966179523879179,0.7801074089285918,0.12732040401205227,0.001912054045151827,3.9005370446429586,0.4966179523879179,0.12732040401205227,,two_stage_fit_to_per_energy_p_i,primary
calibration,5,CALICE_local_SC,2464,4.781618086228687,0.7731904708308757,4.823932837009769,4.92579044764828,0.7099674067572757,0.9851580895296561,0.1441326857694962,0.0020531804946209552,0.014302701001864017,4.8673101136937165,0.5828220921644041,0.9734620227387433,0.11974213242026417,0.001798246168364333,4.8673101136937165,0.5828220921644041,0.11974213242026417,10.50103720809837,two_stage_fit_to_per_energy_p_i,primary
calibration,10,S_EM_unweighted,2487,7.946174840108429,1.3557339186615494,8.112747192382812,8.473514530435203,1.0002522468566895,0.8473514530435203,0.11804455438932446,0.0016737595446971627,0.020057261788166032,8.136027191301817,0.8149791045142767,0.8136027191301818,0.10016917167946125,0.0014972318033774836,8.136027191301817,0.8149791045142767,0.10016917167946125,,two_stage_fit_to_per_energy_p_i,primary
calibration,10,CALICE_local_SC,2487,9.880261289314504,1.4847027379263897,10.073554463316357,10.136553427463978,1.0691751637591347,1.013655342746398,0.10547718920538725,0.00149556625541645,0.021439318156307757,10.127006403475145,0.8655779042384435,1.0127006403475145,0.08547223826593169,0.0012775562709764353,10.127006403475145,0.8655779042384435,0.08547223826593169,10.646289656436501,two_stage_fit_to_per_energy_p_i,primary
calibration,20,S_EM_unweighted,2491,15.651156611157344,3.0671296594260045,16.22653579711914,16.54302924312651,1.7408595085144043,0.8271514621563256,0.1052322088614887,0.0014908941988677731,0.03488003083337771,16.263203326556216,1.4704454654394752,0.8131601663278107,0.09041548801387621,0.0013505382992096786,16.263203326556216,1.4704454654394752,0.09041548801387621,,two_stage_fit_to_per_energy_p_i,primary
calibration,20,CALICE_local_SC,2491,20.153515118826075,3.7075142761443147,20.98150521107509,21.65757259692863,1.7509945970902763,1.0828786298464315,0.08084906973086142,0.0011454421640455543,0.035083098456179226,21.056103933590666,1.50234656142857,1.0528051966795333,0.07134969347448396,0.001065752071806247,21.056103933590666,1.50234656142857,0.07134969347448396,23.170794754219635,two_stage_fit_to_per_energy_p_i,primary
calibration,30,S_EM_unweighted,2502,23.56333832660739,4.5472369181402685,24.42554759979248,25.26647971794009,2.4641942977905273,0.842215990598003,0.09752820041807655,0.0013787056654370343,0.04926418422168094,24.489600289143212,2.148152732116462,0.816320009638107,0.08771693726127439,0.0013073164141421732,24.489600289143212,2.148152732116462,0.08771693726127439,,two_stage_fit_to_per_energy_p_i,primary
calibration,30,CALICE_local_SC,2502,30.42386116099931,5.598328053748261,31.76376533314611,31.98044202362751,2.222741635885008,1.066014734120917,0.06950315552995863,0.0009825301183056028,0.04443706144666513,31.801816279760477,2.0244830096436113,1.0600605426586827,0.0636593517752018,0.0009487667728466572,31.801816279760477,2.0244830096436113,0.0636593517752018,28.73532451945414,two_stage_fit_to_per_energy_p_i,primary
calibration,40,S_EM_unweighted,2556,31.069022015926425,6.394780625693411,32.492488861083984,32.89111183650792,3.347850799560547,0.8222777959126979,0.10178588112806075,0.0014236135663411892,0.06621946538813472,32.69682187259016,2.8938483605064653,0.817420546814754,0.08850549364653655,0.001304942311370017,32.69682187259016,2.8938483605064653,0.08850549364653655,,two_stage_fit_to_per_energy_p_i,primary
calibration,40,CALICE_local_SC,2556,38.736947362603736,7.517511613912963,40.88509667212452,41.30221184729577,2.369574377110048,1.0325552961823943,0.05737160968209004,0.0008024197556780633,0.0468694568080055,40.797345521787726,2.399568056170595,1.019933638044693,0.05881676921575968,0.0008672059507882742,40.797345521787726,2.399568056170595,0.05881676921575968,43.63500217686518,two_stage_fit_to_per_energy_p_i,primary
