parameter,value,fit_error_approx,definition
p10,4.999999999999997,0.9459404136484663,p1(E) constant
p11,-1.3889643303215075e-16,0.14927757162536248,p1(E) linear coefficient [1/GeV]
p12,2.710156863421636e-18,0.004057250137604854,p1(E) quadratic coefficient [1/GeV^2]
p20,-1.857803237149594,0.25724001391288087,p2(E) constant
p21,0.058407564268829815,0.03650316434378576,p2(E) linear coefficient [1/GeV]
p22,-0.0012147433782019887,0.0009490557420192334,p2(E) quadratic coefficient [1/GeV^2]
p30,0.6813609428594445,5.215318991869871,p3(E) numerator
p31,1.0000000000004358e-05,7.681190235051617,p3(E) denominator constant
p32,-0.0048387446267711244,0.041123738417757814,p3(E) exponent coefficient [1/GeV]
