energy_GeV,ml_s_only_res_percent,ml_sc_full_res_percent,traditional_dr_res_percent,local_sc_res_percent,ml_sc_vs_traditional_dr_improvement_percent,ml_sc_vs_local_sc_improvement_percent
5.0,5.6488776973619,5.19304608957526,17.420911798278908,15.713698199693471,70.19073312748013,66.95210749512448
10.0,6.85512766957007,6.65916876830166,12.33849524399404,9.6685447783846,46.02932823965615,31.125428687167343
15.0,6.21938934900117,6.12953119619634,10.782219643731999,,43.151490150178816,
20.0,5.58186653744697,5.78648061967239,10.490363515087731,8.55564971994993,44.84003713169707,32.36655532800081
25.0,5.70010649385959,5.74178308121682,10.31324226341736,,44.32611069766296,
30.0,5.466850918984259,5.17728870091908,9.51542124230285,7.10859655192203,45.590546449984465,27.168623748674566
40.0,4.93902739331227,5.09855376191262,9.32513033104738,5.99005396798829,45.32458441961571,14.883007913450786
50.0,4.9154439427949,4.708312764526109,9.841850715670839,5.16905732785692,52.16029077712766,8.913512350652033
