label,n_points,a_percent_sqrtGeV,a_err,b_percent,b_err,rms_relative_residual_percent
ML S-only,8,7.4971922777376045,3.198054593228537,5.329973576151867,0.3642603717935504,9.103639166121088
ML SC-full,8,5.037507083102222,4.87461683882169,5.408372482114014,0.3815994931508104,10.382256067228635
Traditional dual readout,8,33.23296943574607,1.7086293854152548,7.661370375872362,0.482923831373181,4.724755424668786
CALICE local SC,6,33.40134064090671,1.8339355281919854,2.781304880755484,1.2343936264735953,7.015964566006788
