label,n_points,mean_bias_abs_avg_percent,mean_bias_min_percent,mean_bias_max_percent,mpv_bias_abs_avg_percent,mpv_bias_min_percent,mpv_bias_max_percent
ML S-only,8,2.5065061735550582,-3.4146857826232946,8.303227727890006,1.0102634445267433,-0.5829978406429293,2.7098543852567714
ML SC-full,8,2.692714260931808,-3.6159848232269254,11.600604282379168,1.884745155945426,-0.35300144791604593,10.115809044241896
Traditional dual readout,8,3.7028584639022797,-5.182101793146144,-0.4573410809040057,1.2196017056315496,-1.2689065039157899,3.20535409152507
CALICE local SC,6,3.3838152700717146,-9.811276674070369,1.441679505426019,3.9275416276525204,-5.068706160396186,6.847590598713782
