energy_GeV,mean_GeV,mpv_GeV,mean_response,mpv_response,mean_bias_percent,mpv_bias_percent,label,color,marker
5.0,5.415161386394501,4.970850107967854,1.0830322772789,0.9941700215935707,8.303227727890006,-0.5829978406429293,ML S-only,#1f77b4,o
10.0,10.357030212211608,10.270985438525678,1.0357030212211609,1.0270985438525677,3.570302122116087,2.7098543852567714,ML S-only,#1f77b4,o
15.0,15.280668002986909,15.035937103927138,1.0187112001991272,1.0023958069284757,1.8711200199127198,0.2395806928475741,ML S-only,#1f77b4,o
20.0,20.11345823297501,20.202147956788544,1.0056729116487504,1.0101073978394273,0.567291164875039,1.0107397839427268,ML S-only,#1f77b4,o
25.0,25.00898219347,25.508889231979847,1.0003592877388001,1.020355569279194,0.03592877388001181,2.035556927919391,ML S-only,#1f77b4,o
30.0,29.870027143096923,30.162329655289646,0.9956675714365641,1.005410988509655,-0.4332428563435853,0.5410988509654935,ML S-only,#1f77b4,o
40.0,39.25749962368011,40.36219273775816,0.9814374905920028,1.0090548184439538,-1.8562509407997196,0.9054818443953838,ML S-only,#1f77b4,o
50.0,48.29265710868835,50.02839861512184,0.965853142173767,1.0005679723024368,-3.4146857826232946,0.056797230243677,ML S-only,#1f77b4,o
5.0,5.580030214118958,5.505790452212095,1.1160060428237917,1.101158090442419,11.600604282379168,10.115809044241896,ML SC-full,#d62728,s
10.0,10.137403136444092,10.071664036810397,1.0137403136444092,1.0071664036810397,1.3740313644409197,0.7166403681039712,ML SC-full,#d62728,s
15.0,15.125810913610458,15.115773784071209,1.0083873942406971,1.0077182522714139,0.8387394240697121,0.7718252271413872,ML SC-full,#d62728,s
20.0,19.877703741931917,20.170695494115357,0.9938851870965959,1.0085347747057678,-0.6114812903404099,0.85347747057678,ML SC-full,#d62728,s
25.0,24.82925228767395,25.13159634768963,0.993170091506958,1.005263853907585,-0.6829908493041992,0.5263853907585103,ML SC-full,#d62728,s
30.0,29.78857414331436,30.502668989002714,0.992952471443812,1.016755632966757,-0.7047528556187954,1.6755632966757084,ML SC-full,#d62728,s
40.0,39.15474832077027,40.02610360085964,0.9788687080192566,1.000652590021491,-2.113129198074337,0.06525900214910951,ML SC-full,#d62728,s
50.0,48.19200758838654,49.82349927604198,0.9638401517677307,0.9964699855208395,-3.6159848232269254,-0.35300144791604593,ML SC-full,#d62728,s
5.0,4.9771329459548,4.973916289694607,0.9954265891909599,0.9947832579389214,-0.4573410809040057,-0.5216742061078583,Traditional dual readout,#2ca02c,^
10.0,9.772628068995475,9.995003042258322,0.9772628068995475,0.9995003042258321,-2.2737193100452524,-0.049969577416786315,Traditional dual readout,#2ca02c,^
15.0,14.504318416917323,15.48080311372876,0.9669545611278215,1.0320535409152507,-3.304543887217848,3.20535409152507,Traditional dual readout,#2ca02c,^
20.0,19.134981230652333,20.1272762671113,0.9567490615326166,1.006363813355565,-4.325093846738337,0.6363813355565018,Traditional dual readout,#2ca02c,^
25.0,23.809013702487945,24.682773374021053,0.9523605480995179,0.9873109349608421,-4.763945190048213,-1.2689065039157899,Traditional dual readout,#2ca02c,^
30.0,28.73125293470621,29.99560313593596,0.9577084311568737,0.999853437864532,-4.229156884312635,-0.014656213546804242,Traditional dual readout,#2ca02c,^
40.0,37.96521371247768,40.719882171377535,0.949130342811942,1.0179970542844383,-5.086965718805803,1.7997054284438319,Traditional dual readout,#2ca02c,^
50.0,47.40894910342693,51.13008314426988,0.9481789820685386,1.0226016628853976,-5.182101793146144,2.2601662885397555,Traditional dual readout,#2ca02c,^
5.0,4.811690348458602,4.746564691980191,0.9623380696917204,0.9493129383960381,-3.766193030827958,-5.068706160396186,CALICE local SC,#9467bd,D
10.0,9.878070210407268,10.17109245161854,0.9878070210407268,1.017109245161854,-1.2192978959273182,1.710924516185397,CALICE local SC,#9467bd,D
20.0,20.13010034957105,21.369518119742757,1.0065050174785526,1.0684759059871378,0.6505017478552588,6.847590598713782,CALICE local SC,#9467bd,D
30.0,30.432503851627803,31.518207421877328,1.0144167950542602,1.0506069140625776,1.441679505426019,5.060691406257756,CALICE local SC,#9467bd,D
40.0,38.634422893470656,40.92453929904884,0.9658605723367664,1.023113482476221,-3.4139427663233635,2.3113482476220915,CALICE local SC,#9467bd,D
50.0,45.094361662964815,48.71700558163005,0.9018872332592963,0.9743401116326009,-9.811276674070369,-2.5659888367399075,CALICE local SC,#9467bd,D
