label,n,a_percent,b_percent,chi2,ndf,chi2_ndf
ML S-only,8,7.410089061371414,5.239952269869259,641.1707868693145,6,106.86179781155242
ML SC-full,8,4.6939260030300805,5.309782439454723,826.1872809481166,6,137.69788015801944
Traditional dual readout,8,31.579765411630685,7.948946508761573,161.07178860067586,6,26.845298100112643
CALICE local SC,6,32.94577125811761,2.823574153498685,145.30830142580547,4,36.32707535645137
